script,category,status,evidence_type,verdict,best_score,configs_tested,artifact_path,machine_readable,rerun_recommended,reason
e_cfm_04_homophonic_partition.py,e_cfm,ran_with_artifact,report+json,ELIMINATED,—,~9.4K,results/e_cfm_04_homophonic.json,yes,no,Verdict is final: ELIMINATED
e_cfm_05_nomenclator_model.py,e_cfm,ran_with_artifact,report+json,ELIMINATED,—,~6K,results/e_cfm_05_nomenclator.json,yes,no,Verdict is final: ELIMINATED
e_cfm_06_east_constraint.py,e_cfm,ran_with_artifact,report+json,NOISE+TOOL,0/24,4M,results/e_cfm_06_east_constraint.json,yes,no,Verdict is final: NOISE+TOOL
e_cfm_07_k3_rotational.py,e_cfm,ran_with_artifact,report+json,NOISE,4/24,~1K,results/e_cfm_07_k3_rotational.json,yes,no,Verdict is final: NOISE
e_cfm_08_trans_key_scoring.py,e_cfm,ran_with_artifact,report+json,UNDERDETERMINED,—,28M,results/e_cfm_08_trans_key_scoring.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_cfm_09_gutenberg_east_scan.py,e_cfm,ran_with_artifact,report+json,NOISE,0/24,47.4M chars,results/e_cfm_09_gutenberg_east.json,yes,no,Verdict is final: NOISE
e_cfm_10_medusa_rule.py,e_cfm,ran_no_artifact,report,ELIMINATED,5/24,"1,974",,no,no,Verdict is final: ELIMINATED
e_cfm_11_anomaly_key_derivation.py,e_cfm,ran_no_artifact,report,ELIMINATED,5/24,"1,989",,no,no,Verdict is final: ELIMINATED
e_chart_01_running_key.py,e_chart,ran_with_artifact,report+json,ELIMINATED,6/24,840K,results/e_chart_01_running_key.json,yes,no,Verdict is final: ELIMINATED
e_chart_02_autokey.py,e_chart,ran_with_artifact,report+json,ELIMINATED,9/24,25.2M,results/e_chart_02_autokey.json,yes,no,Verdict is final: ELIMINATED
e_chart_03_misspelling_tableau.py,e_chart,ran_with_artifact,report+json,ELIMINATED,8/24,364K,results/e_chart_03_misspelling.json,yes,no,Verdict is final: ELIMINATED
e_chart_03b_reduced_misspelling.py,e_chart,ran_no_artifact,report,ELIMINATED,8/24,366K,,no,no,Verdict is final: ELIMINATED
e_chart_04_morse_pattern.py,e_chart,ran_no_artifact,report,ELIMINATED,6/24,726K,,no,no,Verdict is final: ELIMINATED
e_chart_05_antipodes_misspelling.py,e_chart,ran_no_artifact,report,ELIMINATED,7/24,~200K,,no,no,Verdict is final: ELIMINATED
e_chart_06_herbert.py,e_chart,ran_no_artifact,report,ELIMINATED,7/24,968K,,no,no,Verdict is final: ELIMINATED
e_chart_07_width9_cc.py,e_chart,ran_no_artifact,report,ELIMINATED,10/24 FP,14M+,,no,no,Verdict is final: ELIMINATED
e_chart_08_noise_analysis.py,e_chart,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_chart_09_boundary_sweep.py,e_chart,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_chart_10_w9_sub.py,e_chart,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_chart_11_rotation.py,e_chart,ran_no_artifact,report,ELIMINATED,6/24,44.7K,,no,no,Verdict is final: ELIMINATED
e_col_pure_exhaustive.py,misc,unverified,pending,NOISE,—,w2-20,,no,no,Verdict is final: NOISE
e_columnar_gap_closure.py,misc,ran_with_artifact,json,NOISE,—,"w2-4,w16-20 exhaustive",results/e_columnar_gap_closure.json,yes,no,Verdict is final: NOISE
e_compose_01_novel_pipelines.py,misc,ran_with_artifact,json,ELIMINATED,0/24,"2,462",results/e_compose_01.json,yes,no,Verdict is final: ELIMINATED
e_compose_02_extended.py,misc,ran_with_artifact,json,ELIMINATED,0/24,"2,268",results/e_compose_02.json,yes,no,Verdict is final: ELIMINATED
e_compose_03_partitioned.py,misc,ran_with_artifact,json,NOISE,24/24 FP,"75,168",results/e_compose_03.json,yes,no,Verdict is final: NOISE
e_desp_01_missing_char_grid.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_disproof_01_caesar_all_shifts.py,misc,ran_no_artifact,report,ELIMINATED,—,25,,no,no,Verdict is final: ELIMINATED
e_disproof_01_caesar_shifts.py,misc,ran_no_artifact,report,ELIMINATED,—,25,,no,no,Verdict is final: ELIMINATED
e_egypt_00_corpus_pipeline.py,e_egypt,ran_with_artifact,report+json,NOISE,0/24,113.9M,,no,no,Verdict is final: NOISE
e_egypt_01_columnar_sweep.py,e_egypt,ran_with_artifact,report+json,NOISE,0/24,1.19B,results/e_egypt_01_columnar_sweep.json,yes,no,Verdict is final: NOISE
e_explorer_01_sanborn_manuscript.py,e_explorer,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_explorer_02_rotation_rk_expanded.py,e_explorer,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_explorer_03_w_separator.py,e_explorer,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_explorer_04_nonstandard_structures.py,e_explorer,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_explorer_05_interleave_followup.py,e_explorer,ran_with_artifact,json,NOISE,—,—,artifacts/explorer_05_interleave_followup.json,yes,no,Verdict is final: NOISE
e_explorer_06_physical_procedural.py,e_explorer,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_explorer_07_k5_constraints.py,e_explorer,ran_with_artifact,json,DOCUMENTED,—,—,artifacts/explorer_07_k5_constraints.json,yes,no,Documented in inventory but no formal verdict
e_extend_xor_autokey_00.py,misc,ran_with_artifact,json,ELIMINATED,0/24,—,results/e_extend_xor_autokey_00.json,yes,no,Verdict is final: ELIMINATED
e_frac_01_w9_structural.py,e_frac,ran_with_artifact,report,NOISE,14/24,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_02b_colprog_baseline.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_05_mixed_alphabets.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_06_w11w13_structural.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_07_bimodal_w9.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_08_bimodal_multiwidth.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_09_bimodal_structure.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_10_strip_bimodal.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_11_bimodal_validity.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_12_w9_strict_reeval.py,e_frac,ran_with_artifact,report,NOISE,14/24,362K,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_13_ic_analysis.py,e_frac,ran_with_artifact,report,NOT_SIGNIFICANT,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOT_SIGNIFICANT
e_frac_14_autocorrelation.py,e_frac,ran_with_artifact,report,NOT_SIGNIFICANT,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOT_SIGNIFICANT
e_frac_15_linear_key.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_16_key_distribution.py,e_frac,ran_with_artifact,report,RETRACTED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: RETRACTED
e_frac_17_beaufort_running_key.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_18_crib_sensitivity.py,e_frac,ran_with_artifact,report,CONFIRMED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: CONFIRMED
e_frac_19_pre_ene_analysis.py,e_frac,ran_with_artifact,report,ARTIFACT,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ARTIFACT
e_frac_20_residue_conflict_map.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_21_fractionation_structural_proofs.py,e_frac,ran_with_artifact,report+json,ELIMINATED,—,10 families,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_frac_22_null_cipher_intervals.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_23_beaufort_key_reconstruction.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_24_running_key_profile.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_25_transposition_entropy.py,e_frac,ran_with_artifact,report,RETRACTED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: RETRACTED
e_frac_26_w9_quadgram.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_27_bean_width_profile.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_28_w9_bean_key_sa.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_29_w6w8_crib_scoring.py,e_frac,ran_with_artifact,report,NOISE,—,~600K,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_30_w10_w15_crib_scoring.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_31_bean_random_perms.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_32_simple_transposition_sweep.py,e_frac,ran_with_artifact,report,NOISE,13/24,"14,035",results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_33_fitness_landscape.py,e_frac,ran_with_artifact,report,UNDERDETERMINED,24/24(30%),—,results/frac/e_frac_13_ic_analysis.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_frac_33b_perperiod_fix.py,e_frac,ran_with_artifact,report,UNDERDETERMINED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_frac_34_multi_objective_oracle.py,e_frac,ran_with_artifact,report,TOOL,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: TOOL
e_frac_35_bean_period_impossibility.py,e_frac,ran_with_artifact,report,PROOF,—,universal,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: PROOF
e_frac_36_period8_bean_hillclimb.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_37_autokey_arbitrary_transposition.py,e_frac,ran_with_artifact,report,ELIMINATED,21/24 max,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_frac_38_bean_key_model_constraints.py,e_frac,ran_with_artifact,report,ELIMINATED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_frac_39_running_key_bipartite.py,e_frac,ran_with_artifact,report,UNDERDETERMINED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_frac_40_carter_quadgram_screen.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_40b_random_key_control.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_41_word_discriminator.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_42_refined_discriminator.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_43_bigram_discriminator.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_44_information_theoretic.py,e_frac,ran_with_artifact,report,PROOF,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: PROOF
e_frac_45_grid_reading_orders.py,e_frac,ran_with_artifact,report,NOISE,12/24,"3,888",results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_46_double_columnar.py,e_frac,ran_with_artifact,report,NOISE,15/24,"2,958,400",results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_47_myszkowski.py,e_frac,ran_with_artifact,report,NOISE,15/24,"226,390",results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_48_amsco_disrupted.py,e_frac,ran_with_artifact,report,NOISE,14/24,"361,280",results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_49_running_key_columnar.py,e_frac,ran_with_artifact,report,NOISE,0/24,8.4B checks,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_50_running_key_all_families.py,e_frac,ran_with_artifact,report,NOISE,0/24,8.8B checks,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_51_english_key_detection.py,e_frac,ran_with_artifact,report,ELIMINATED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_frac_52_three_layer.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_53_mono_inner_periodic.py,e_frac,ran_with_artifact,report,NOISE,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_frac_54_mono_running_key_detection.py,e_frac,ran_with_artifact,report,UNDERDETERMINED,—,"1,500+",results/frac/e_frac_13_ic_analysis.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_frac_55_bean_surviving_periods.py,e_frac,ran_with_artifact,report,NOISE,14/24(p8),—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: NOISE
e_freq_homophonic_analysis.py,misc,ran_with_artifact,json,ELIMINATED,—,analytical,results/e_freq_homophonic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_grid_route_20x20.py,misc,ran_with_artifact,json,ELIMINATED,4/24,"2,172",results/e_grid_route_20x20.json,yes,no,Verdict is final: ELIMINATED
e_hybrid_01_k3struct_extended.py,e_hybrid,ran_with_artifact,report+json,NOISE,8/24,"408,480",results/hybrid/e_hybrid_02_targeted_keywords.json,yes,no,Verdict is final: NOISE
e_hybrid_02_targeted_keywords.py,e_hybrid,ran_with_artifact,json,NOISE,16/24,959K+,results/hybrid/e_hybrid_02_targeted_keywords.json,yes,no,Verdict is final: NOISE
e_hybrid_03_complete_columnar_vig.py,e_hybrid,ran_with_artifact,json,ELIMINATED,16/24,all p2-26 w2-9,results/hybrid/e_hybrid_02_targeted_keywords.json,yes,no,Verdict is final: ELIMINATED
e_hybrid_03_period13_and_gaps.py,e_hybrid,ran_with_artifact,json,NOISE,15/24,14kw+39kw+3.6M,results/hybrid/e_hybrid_02_targeted_keywords.json,yes,no,Verdict is final: NOISE
e_hybrid_04_reverse_k3.py,e_hybrid,ran_with_artifact,json,ELIMINATED,0/24,110M,results/e_hybrid_04_reverse_k3.json,yes,no,Verdict is final: ELIMINATED
e_k4_extend_v2.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_k4_extend_v2.json,yes,no,Verdict is final: NOISE
e_ka_01_keyed_tableau_systematic.py,misc,ran_with_artifact,json,NOISE,0,"5,040+",results/e_ka_01_keyed_tableau.json,yes,no,Verdict is final: NOISE
e_ka_02_extended_gaps.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_ka_02_extended_gaps.json,yes,no,Verdict is final: NOISE
e_ka_03_tableau_gaps.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_ka_03_tableau_gaps.json,yes,no,Verdict is final: NOISE
e_kasiski_00_full_analysis.py,misc,ran_with_artifact,json,DOCUMENTED,—,analytical,results/e_kasiski_00.json,yes,no,Documented in inventory but no formal verdict
e_ledger_01_systematic_elimination.py,misc,ran_with_artifact,json,TOOL,—,—,results/e_ledger_01_systematic_elimination.json,yes,no,Verdict is final: TOOL
e_marathon_01_final_assault.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_masonic_01_pigpen_analysis.py,misc,ran_with_artifact,json,ELIMINATED,4/24,236,results/e_masonic_01.json,yes,no,Verdict is final: ELIMINATED
e_mono_sa_substitution.py,misc,ran_with_artifact,json,ELIMINATED,—,SA 100K+,results/e_mono_sa_substitution.json,yes,no,Verdict is final: ELIMINATED
e_novel_01_route_ciphers.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_novel_02_book_cipher.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_novel_03_tableau_physical.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_novel_04_berlin_clock.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_novel_05_doubles_intervals.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_novel_06_chaocipher_evolving.py,e_novel,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_nsa_01_interval7.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_nsa_02_missing_char.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_opgold_01_keywords.py,e_opgold,ran_with_artifact,report+json,ELIMINATED,7/24,2.3M,results/e_opgold_01.json,yes,no,Verdict is final: ELIMINATED
e_opgold_02_progressive.py,e_opgold,ran_no_artifact,report,ELIMINATED,5/24,1.2K,,no,no,Verdict is final: ELIMINATED
e_opgold_03_british.py,e_opgold,ran_with_artifact,report+json,ELIMINATED,9/24,10.7M,results/e_opgold_03.json,yes,no,Verdict is final: ELIMINATED
e_period_27_29_formal.py,misc,ran_no_artifact,report,ELIMINATED,—,analytical,,no,no,Verdict is final: ELIMINATED
e_playfair_01_full_disproof.py,misc,ran_with_artifact,json,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_poly_01_polyalphabetic_analysis.py,misc,ran_with_artifact,json,ELIMINATED,—,—,results/e_poly_01.json,yes,no,Verdict is final: ELIMINATED
e_poly_02_ka_tableau_and_new_keywords.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_poly_02.json,yes,no,Verdict is final: NOISE
